pitch_rad,pitch_rate_rad,yaw_rad,yaw_rate_rad,pwm
0.005649,-0.021653,-0.067043,0.002006,-11.0
0.004719,-0.042437,-0.067013,0.000141,-9.0
0.003507,-0.044036,-0.066973,0.000408,-6.0
0.002476,-0.035509,-0.066935,0.000141,-4.0
0.001755,-0.018722,-0.06691,0.001207,-3.0
0.001553,0.001263,-0.066868,0.000141,-2.0
0.001744,0.020715,-0.066874,-0.001458,-3.0
0.002358,0.027909,-0.066846,-0.000125,-4.0
0.002858,0.018583,-0.066835,0.000408,-6.0
0.003103,-0.002201,-0.066805,0.002273,-6.0
0.0028,-0.014725,-0.066788,0.00174,-5.0
0.002449,-0.009129,-0.066768,-0.000125,-5.0
0.002432,0.009523,-0.066759,0.000141,-5.0
0.00308,0.029775,-0.066748,0.001474,-6.0
0.004049,0.042032,-0.066738,-0.000925,-9.0
0.00495,0.032706,-0.066725,0.00174,-11.0
0.005601,0.006326,-0.066688,0.004405,-13.0
0.005378,-0.028048,-0.066659,0.002806,-12.0
0.004192,-0.054428,-0.066613,0.003072,-9.0
0.002572,-0.058158,-0.066583,0.002273,-6.0
0.000942,-0.049898,-0.066554,-0.000125,-2.0
-9.1e-05,-0.02565,-0.066525,0.000408,0.0
-0.000273,0.011122,-0.0665,0.000141,0.0
0.000169,0.035637,-0.066502,-0.001458,-1.0
0.001091,0.039101,-0.066497,-0.000658,-3.0
0.001835,0.031107,-0.066478,0.000941,-4.0
0.0027,0.037768,-0.066478,0.000674,-7.0
0.003909,0.04816,-0.06646,0.001207,-9.0
0.005244,0.050825,-0.066479,-0.001191,-13.0
0.006399,0.033771,-0.06643,0.004671,-15.0
0.006632,-0.008596,-0.066276,0.007869,-16.0
0.00605,-0.031512,-0.066169,0.000141,-15.0
0.004841,-0.051497,-0.066129,0.000941,-12.0
0.003345,-0.047233,-0.066112,-0.001191,-9.0
0.0023,-0.031778,-0.066109,0.000408,-6.0
0.001791,-0.003533,-0.066096,-0.000125,-5.0
0.00188,0.020182,-0.06607,0.003339,-6.0
0.002658,0.034571,-0.06606,-0.000925,-8.0
0.003536,0.037235,-0.066069,0.000941,-10.0
0.004296,0.019915,-0.066075,-0.000392,-12.0
0.004579,0.002862,-0.06606,-0.000125,-12.0
0.004384,-0.014192,-0.066027,0.001207,-12.0
0.003775,-0.023518,-0.066018,-0.000392,-11.0
0.003064,-0.022452,-0.06598,0.001474,-9.0
0.002574,-0.006731,-0.065954,0.000141,-8.0
0.002491,0.006592,-0.065934,0.000408,-8.0
0.00267,0.017784,-0.065932,0.001207,-9.0
0.003091,0.021514,-0.0659,0.002006,-10.0
0.003389,0.013787,-0.065886,-0.000925,-10.0
0.003428,-0.000336,-0.065857,0.000408,-11.0
0.003179,-0.00753,-0.065849,0.001474,-10.0
0.002927,-0.011261,-0.065829,0.001474,-10.0
0.002612,-0.006731,-0.065787,0.002806,-9.0
0.002472,0.001796,-0.065771,-0.000658,-9.0
0.002688,0.014853,-0.065748,0.000408,-9.0
0.003252,0.023646,-0.06573,0.000674,-11.0
0.003802,0.017784,-0.065702,0.000141,-12.0
0.00402,0.006592,-0.065679,0.00174,-13.0
0.003928,-0.00833,-0.065636,0.000408,-12.0
0.003563,-0.021386,-0.065632,0.001207,-12.0
0.002922,-0.02032,-0.065632,-0.000925,-10.0
0.002413,-0.011794,-0.065601,0.000674,-9.0
0.002196,0.003395,-0.065565,0.002539,-9.0
0.002487,0.012721,-0.065557,-0.001724,-10.0
0.002944,0.019116,-0.065515,0.001207,-11.0
0.003516,0.02258,-0.06551,0.002273,-12.0
0.004009,0.014853,-0.065494,0.000141,-13.0
0.004199,0.001263,-0.065442,0.003605,-14.0
0.004205,-0.010461,-0.065408,0.002006,-14.0
0.003736,-0.018988,-0.065399,0.000941,-13.0
0.003195,-0.018189,-0.065398,-0.000125,-12.0
0.002895,-0.010728,-0.065381,-0.000125,-11.0
0.002758,0.004994,-0.065348,0.002539,-11.0
0.003001,0.015386,-0.065354,0.001207,-12.0
0.00352,0.016185,-0.065327,0.001207,-13.0
0.003832,0.011389,-0.065281,0.003072,-14.0
0.004056,0.001529,-0.065268,0.00174,-15.0
0.004015,-0.001402,-0.06527,-0.000125,-15.0
0.003841,-0.006198,-0.065257,0.002006,-14.0
0.003577,-0.005132,-0.065257,-0.000392,-14.0
0.003323,-0.010195,-0.06522,0.001474,-13.0
0.003124,-0.004599,-0.065209,-0.000658,-13.0
0.002807,-0.002201,-0.065183,0.001474,-12.0
0.0027,0.004727,-0.065154,0.004138,-12.0
0.002972,0.018317,-0.065144,0.001474,-13.0
0.003562,0.025511,-0.065135,-0.001724,-14.0
0.00435,0.025511,-0.065125,0.00174,-16.0
0.005004,0.020182,-0.065117,-0.001458,-18.0
0.005349,-0.006464,-0.065079,-0.003323,-19.0
0.004679,-0.031245,-0.06535,-0.020376,-17.0
0.003891,-0.036841,-0.065583,-0.010251,-16.0
0.002938,-0.036575,-0.065758,-0.007853,-13.0
0.002042,-0.032578,-0.065728,-0.001458,-11.0
0.001394,-0.020587,-0.065726,-0.000658,-10.0
0.000956,-0.006198,-0.065693,0.001207,-9.0
0.000722,0.003395,-0.065664,0.002006,-9.0
0.000764,0.012721,-0.06565,0.002539,-9.0
0.001194,0.027643,-0.065628,0.00174,-10.0
0.001999,0.03617,-0.065631,-0.000392,-12.0
0.002914,0.036436,-0.065618,-0.000658,-14.0
0.003707,0.019116,-0.065604,-0.000392,-16.0
0.003873,-0.004599,-0.065776,-0.01105,-16.0
0.003005,-0.052029,-0.066292,-0.030768,-14.0
0.000823,-0.099726,-0.067356,-0.053684,-9.0
-0.00172,-0.093065,-0.068777,-0.047822,-3.0
-0.002921,-0.019788,-0.06907,0.015863,-1.0
-0.003905,-0.022719,-0.069024,0.009467,1.0
-0.004442,-0.007797,-0.068941,0.008135,2.0
-0.004436,0.010589,-0.068924,0.003339,2.0
-0.003971,0.022314,-0.068898,0.000141,1.0
-0.003398,0.021248,-0.068902,0.000408,0.0
-0.0032,0.008458,-0.068896,-0.00199,0.0
-0.003274,-0.006731,-0.068906,-0.001191,0.0
-0.003705,-0.016057,-0.068892,-0.001458,1.0
-0.004305,-0.014458,-0.068879,-0.000392,2.0
